iteration,global_sparsity,layer_name,zero_frac,zeros,total
5,0.20062035798639766,layers.3.conv1,0.0,0,3456
5,0.20062035798639766,layers.3.conv2,0.0,0,1296
5,0.20062035798639766,layers.3.conv3,0.0,0,4608
5,0.20062035798639766,layers.4.conv1,0.0,0,6144
5,0.20062035798639766,layers.4.conv2,0.0,0,1728
5,0.20062035798639766,layers.4.conv3,0.28125,1728,6144
5,0.20062035798639766,layers.5.conv1,0.0,0,6144
5,0.20062035798639766,layers.5.conv2,0.0,0,1728
5,0.20062035798639766,layers.5.conv3,0.15625,960,6144
5,0.20062035798639766,layers.6.conv1,0.0,0,6144
5,0.20062035798639766,layers.6.conv2,0.0,0,1728
5,0.20062035798639766,layers.6.conv3,0.0,0,12288
5,0.20062035798639766,layers.7.conv1,0.0,0,24576
5,0.20062035798639766,layers.7.conv2,0.0,0,3456
5,0.20062035798639766,layers.7.conv3,0.25,6144,24576
5,0.20062035798639766,layers.8.conv1,0.0,0,24576
5,0.20062035798639766,layers.8.conv2,0.0,0,3456
5,0.20062035798639766,layers.8.conv3,0.375,9216,24576
5,0.20062035798639766,layers.9.conv1,0.0,0,24576
5,0.20062035798639766,layers.9.conv2,0.0,0,3456
5,0.20062035798639766,layers.9.conv3,0.453125,11136,24576
5,0.20062035798639766,layers.10.conv1,0.0,0,24576
5,0.20062035798639766,layers.10.conv2,0.0,0,3456
5,0.20062035798639766,layers.10.conv3,0.40625,14976,36864
5,0.20062035798639766,layers.10.shortcut.0,0.0,0,6144
5,0.20062035798639766,layers.11.conv1,0.0,0,55296
5,0.20062035798639766,layers.11.conv2,0.0,0,5184
5,0.20062035798639766,layers.11.conv3,0.4375,24192,55296
5,0.20062035798639766,layers.12.conv1,0.0,0,55296
5,0.20062035798639766,layers.12.conv2,0.0,0,5184
5,0.20062035798639766,layers.12.conv3,0.46875,25920,55296
5,0.20062035798639766,layers.13.conv1,0.0,0,55296
5,0.20062035798639766,layers.13.conv2,0.0,0,5184
